If a b c are the pth qth rth term of an A.P and a G.P both then|the answer is $a^{b}\cdot b^{c}\cdot c^{a}= a^{c}\cdot b^{a}\cdot c^{b}$|medium|$a^{b}\cdot b^{c}\cdot c^{a}= a^{c}\cdot b^{a}\cdot c^{b}$|$a^{c}\cdot b^{a}\cdot c^{b}= a^{c}\cdot b^{a}\cdot c^{b}$|$a^{a}\cdot b^{b}\cdot c^{c}= a^{c}\cdot b^{a}\cdot c^{b}$|$c^{b}\cdot b^{c}\cdot c^{b}= a^{c}\cdot b^{a}\cdot c^{b}$|$a^{b}\cdot b^{c}\cdot c^{a}= a^{c}\cdot b^{a}\cdot c^{b}$
An A.P and a G.P of positive terms have the same first term and the sum of their 1st 2nd and 3rd terms are respectively 1 $\frac{1}{2}$ and 2.The sum of their fourth term is|the answer is $\frac{19}{2}$|medium|$$\frac{21}{2}$|$\frac{19}{2}$|$\frac{31}{2}$|$\frac{29}{2}$|$\frac{19}{2}$
If $\frac{a - x}{p\cdot x}$ $\frac{a - y}{q\cdot y}$ $\frac{a - z}{r\cdot z}$ and p q r are in A.P then x y z are in|the answer is H.P|medium|A.P|G.P|H.P|none of these|H.P
An A.P and a H.P has the same first  term the same last term and the same number of terms a b and n respectively. then the product of rth term of A.P and (n - r + 1)th term of H.P is|the answer is $a\cdot b$|medium|$a\cdot b$|$\frac{a}{b}$|$\frac{b}{a}$|$a^{2}\cdot b$|$a\cdot b$
If from each term of the consecutive three terms of H.P half the second term is substracted the resulting sequence is|the answer is G.P|medium|A.P|G.P|H.P|none of these|G.P
If a b c d are in G.P and $a^{x}= b^{y}= c^{z}= d^{w}$ then x y z w are in|the answer is H.P|medium|A.P|H.P|G.P|none of these|H.P
If (y - x) 2(y - a) (y - z) are in H.P then (x - a) (y - a) (z - a) are in|the answer is G.P|medium|A.P|H.P|G.P|none of these|H.P
If three quantities are in A.P and G.P both then|the answer is they are equal|medium|equal|unequal|cann't say|none of these|equal
If a b c are in A.P p q r in H.P and $a\cdot p b\cdot q c\cdot r$ are in G.P then|the answer is $\frac{p}{r} + \frac{r}{p}= \frac{a}{c} + \frac{c}{a}$|medium|$\frac{p}{r} + \frac{r}{p}= \frac{a}{c} + \frac{c}{a}$|$\frac{a}{c} + \frac{r}{p}= \frac{p}{r} + \frac{c}{a}$|$\frac{p}{r} + \frac{c}{a}= \frac{a}{c} + \frac{r}{p}$|$2\cdot \frac{p}{r} + \frac{r}{p}= \frac{a}{c} + \frac{c}{a}$|$\frac{p}{r} + \frac{r}{p}= \frac{a}{c} + \frac{c}{a}$
If a b x are in A.P a b y be in G.P a b z in H.P then|the answer is $4z\cdot (x - y)(y - z)= y\cdot (x - z)^{2}$|medium|$4x\cdot (x - y)(y - z)= y\cdot (x - z)^{2}$|$4z\cdot (x - y)(y - z)= y\cdot (x - z)^{3}$|$4z\cdot (x - y)(y - z)= y\cdot (x - z)^{2}$|$4z\cdot (x - y)(y - z)= y\cdot (x - z)$|$4z\cdot (x - y)(y - z)= y\cdot (x - z)^{2}$
If x 1 z are in A.P x 2 z are in G.P then x 4 z are in|the answer is H.P|medium|A.P|H.P|G.P|none of these|H.P
