How many terms are there in the G.P 0.03 0.06 0.12 \cdots 3.84?|the answer is 8|easy|8|7|6|9|8
A man collects the first day Rs 2 the second day Rs 4 the third day Rs 8 at the fourth day Rs 16 and so on. What will be his collection on the 10th day?|the answer is 1024|easy|1024|2048|512|1000|1024
The population of a city in January 1987 was 20000.It increased at the rate of 2% per annum.What will be the population city in January 1997|the answer is 24379|easy|24370|25000|26500|24379|24379
If the 5th and 8th term of a G.P be 48 and 384 respectively then the G.P is|the answer is $3 6 12 24\cdots$|easy|$4 8 16\cdots$|$2 6 18 54 \cdots$|$3 6 12 24 \cdots$|none of these|$3 6 12 24 \cdots$
If the 6th and 10th term of GP are $\frac{1}{16}$ $\frac{1}{256}$respectively find the G.P|the answer is $2 1 \frac{1}{2} \frac{1}{4} \frac{1}{8} \cdots$ or $-2 1 -\frac{1}{2} \frac{1}{4} -\frac{1}{8}\cdots$|easy|$2 1 \frac{1}{2} \frac{1}{4} \frac{1}{8} \cdots$|$-2 1 -\frac{1}{2} \frac{1}{4} -\frac{1}{8}\cdots$|bothof these|none of these|both of these
If (p + q)th term of a G.P is a and (p - q)th term is b.Which of these is true?|the answer is $\sqrt{a\cdot b}$|easy|$\sqrt{a\cdot b}$|$a\cdot b$|$\frac{1}{a\cdot b}$|none of these|$\sqrt{a\cdot b}$
If the pth qth rth terms of a G.P be x y z respectively then|the answer is $x^{q - r}\cdot y^{r - p}\cdot z^{p - q}= 1$|medium|$x^{q - r}\cdot y^{r - p}\cdot z^{p - q}= 1$|$x^{q - r}\cdot y^{r - p}\cdot z^{p - q}= 0$|$x^{q - r}\cdot y^{r - p}\cdot z^{p - q}= -1$|none of these|$x^{q - r}\cdot y^{r - p}\cdot z^{p - q}= 1$
The product of three consecutive terms of G.P is -64 and the first term is 4 times the third then the G.P is|the answer is 8 -4 2 or -8 -4 -2|medium|8 -4 2|-8 -4 -2|4 -8 16|-4 -8 -16|8 -4 2|-8 -4 -2
Three numbers whose sum is 15 are in AP.If 1 4 19 be added to them respectively.The resulting numbers are in GP.What are the numbers|the answer is 2 5 8 or 26 5 -16|medium|2 5 8|26 5 -16|both of these|none of these|both of these
From three numbers in G.P other three numbers in GP are subtracted and the remainders are also found to be in G.P.Which of these is true?|the answer is they have same common ratio|medium|they have same common ratio|common ratios are in ratio 1:2|common ratios are in ratio 1:3|none of these|they have same common ratio
If a b c d in G.P then|the answer is all of these|medium|$(a + b)^{2} (b + c)^{2} (c + d)^{2}$ are in G.P|$(a - b)^{2} (b - c)^{2} (c - d)^{2}$ are in G.P$|$a^{2} + b^{2} + c^{2}|(ab + bc + cd) (b^{2} + c^{2} + d^{2}$ are in G.P|all of these
If a b c d in G.P then|the answer is all of these|medium|$\frac{1}{a^{2} + b^{2}} \frac{1}{b^{2} + c^{2}} \frac{1}{c^{2} + d^{2}}$ are in G.P|$a(b - c)^{2}= c(a - b)^{2}$|$(a + b + c + d)^{2}= (a + b)^{2} + (c + d)^{2} + 2\cdot (b + c)^{2}$|all of these|all of these
If a b c in G.P then|the answer is all of these|medium|$a^{2}\cdot b^{2}\cdot c^{2}\left(\frac{1}{a^{3}} + \frac{1}{b^{3}} + \frac{1}{c^{3}}\right)= a^{3} + b^{3} + c^{3}$|$(a^{2} - b^{2})\cdot (b^{2} + c^{2})= (a^{2} + b^{2})\cdot (b^{2} - c^{2})$|$loga logb logc are in A.P$|all of these|all of these
